client_hash_id,decline_score,reason_codes
client_73cda7b4e4f265ea,0.99,"moderate signals, no single driver"
client_fef1a8f436438636,0.99,over-reliant on one query
client_fef1a8f436438636,0.99,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.99,over-reliant on one query
client_fef1a8f436438636,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.99,over-reliant on one query
client_e5c2aa26a8598242,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.99,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.99,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.99,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.99,over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.985,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.985,"moderate signals, no single driver"
client_8ddc46da5414ffd8,0.985,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.985,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.985,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.985,over-reliant on one query
client_fef1a8f436438636,0.985,over-reliant on one query
client_73cda7b4e4f265ea,0.985,over-reliant on one query
client_73cda7b4e4f265ea,0.985,"moderate signals, no single driver"
client_fef1a8f436438636,0.985,over-reliant on one query
client_fef1a8f436438636,0.985,unstable ranking position
client_9958f0a7ae1df715,0.985,unstable ranking position
client_3197e6291363b4db,0.985,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.985,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.985,over-reliant on one query
client_fef1a8f436438636,0.985,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.985,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.985,over-reliant on one query
client_73cda7b4e4f265ea,0.985,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.985,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.985,"moderate signals, no single driver"
client_fef1a8f436438636,0.985,unstable ranking position; already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.985,over-reliant on one query
client_fef1a8f436438636,0.985,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.985,over-reliant on one query
client_e5c2aa26a8598242,0.985,over-reliant on one query
client_73cda7b4e4f265ea,0.985,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.985,over-reliant on one query
client_73cda7b4e4f265ea,0.985,unstable ranking position
client_62f4a7e64f5e0096,0.985,over-reliant on one query
client_8ddc46da5414ffd8,0.985,over-reliant on one query
client_3197e6291363b4db,0.985,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.98,"moderate signals, no single driver"
client_fef1a8f436438636,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.98,"moderate signals, no single driver"
client_fef1a8f436438636,0.98,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.98,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.98,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.98,"moderate signals, no single driver"
client_fef1a8f436438636,0.98,unstable ranking position; over-reliant on one query
client_8ddc46da5414ffd8,0.98,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.98,"moderate signals, no single driver"
client_8ddc46da5414ffd8,0.98,"moderate signals, no single driver"
client_fef1a8f436438636,0.98,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.98,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.98,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.98,over-reliant on one query
client_fef1a8f436438636,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.98,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.98,"moderate signals, no single driver"
client_fef1a8f436438636,0.98,"moderate signals, no single driver"
client_fef1a8f436438636,0.98,over-reliant on one query
client_e5c2aa26a8598242,0.98,over-reliant on one query
client_fef1a8f436438636,0.98,over-reliant on one query
client_e5c2aa26a8598242,0.98,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.98,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.98,over-reliant on one query
client_73cda7b4e4f265ea,0.98,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.98,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.98,unstable ranking position
client_62f4a7e64f5e0096,0.98,unstable ranking position
client_73cda7b4e4f265ea,0.98,already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.98,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.98,over-reliant on one query
client_e5c2aa26a8598242,0.98,unstable ranking position
client_fef1a8f436438636,0.98,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.98,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.98,unstable ranking position
client_73cda7b4e4f265ea,0.98,over-reliant on one query
client_fef1a8f436438636,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.98,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.98,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.98,already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.98,unstable ranking position; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.975,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.975,over-reliant on one query
client_fef1a8f436438636,0.975,over-reliant on one query
client_62f4a7e64f5e0096,0.975,unstable ranking position
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.975,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,over-reliant on one query
client_3197e6291363b4db,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.975,unstable ranking position
client_73cda7b4e4f265ea,0.975,unstable ranking position
client_62f4a7e64f5e0096,0.975,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.975,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position
client_fef1a8f436438636,0.975,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.975,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.975,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.975,over-reliant on one query
client_62f4a7e64f5e0096,0.975,unstable ranking position
client_fef1a8f436438636,0.975,unstable ranking position
client_73cda7b4e4f265ea,0.975,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.975,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.975,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.975,over-reliant on one query
client_73cda7b4e4f265ea,0.975,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.975,over-reliant on one query
client_73cda7b4e4f265ea,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.975,over-reliant on one query
client_fef1a8f436438636,0.975,unstable ranking position
client_8ddc46da5414ffd8,0.975,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.975,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.975,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.975,unstable ranking position
client_8ddc46da5414ffd8,0.975,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.975,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.975,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.975,over-reliant on one query
client_8ddc46da5414ffd8,0.975,over-reliant on one query
client_8ddc46da5414ffd8,0.975,unstable ranking position; already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.975,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.975,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.975,"moderate signals, no single driver"
client_fef1a8f436438636,0.97,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.97,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.97,"moderate signals, no single driver"
client_3197e6291363b4db,0.97,relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.97,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.97,"moderate signals, no single driver"
client_fef1a8f436438636,0.97,unstable ranking position
client_8ddc46da5414ffd8,0.97,over-reliant on one query
client_fef1a8f436438636,0.97,unstable ranking position
client_62f4a7e64f5e0096,0.97,unstable ranking position
client_fef1a8f436438636,0.97,unstable ranking position
client_fef1a8f436438636,0.97,unstable ranking position
client_e5c2aa26a8598242,0.97,over-reliant on one query
client_e5c2aa26a8598242,0.97,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.97,unstable ranking position; already low impressions; over-reliant on one query
client_9958f0a7ae1df715,0.97,relies on rare/long-tail queries; already low impressions
client_73cda7b4e4f265ea,0.97,unstable ranking position; over-reliant on one query
client_8ddc46da5414ffd8,0.97,over-reliant on one query
client_e5c2aa26a8598242,0.97,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.97,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.97,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.97,over-reliant on one query
client_73cda7b4e4f265ea,0.97,unstable ranking position; relies on rare/long-tail queries
client_62f4a7e64f5e0096,0.97,unstable ranking position; already low impressions
client_62f4a7e64f5e0096,0.97,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.97,unstable ranking position
client_fef1a8f436438636,0.97,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.97,unstable ranking position
client_62f4a7e64f5e0096,0.97,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.97,"moderate signals, no single driver"
client_fef1a8f436438636,0.97,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.97,over-reliant on one query
client_62f4a7e64f5e0096,0.97,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.97,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.97,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.97,unstable ranking position
client_fef1a8f436438636,0.97,over-reliant on one query
client_e5c2aa26a8598242,0.97,"moderate signals, no single driver"
client_fef1a8f436438636,0.97,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.97,unstable ranking position
client_62f4a7e64f5e0096,0.97,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.97,unstable ranking position; over-reliant on one query
client_8ddc46da5414ffd8,0.97,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.97,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.97,over-reliant on one query
client_fef1a8f436438636,0.97,over-reliant on one query
client_fef1a8f436438636,0.97,unstable ranking position
client_fef1a8f436438636,0.97,unstable ranking position; over-reliant on one query
client_3197e6291363b4db,0.97,unstable ranking position
client_fef1a8f436438636,0.97,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.97,over-reliant on one query
client_62f4a7e64f5e0096,0.97,unstable ranking position; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.97,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.97,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.97,unstable ranking position
client_73cda7b4e4f265ea,0.97,"moderate signals, no single driver"
client_8ddc46da5414ffd8,0.97,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,over-reliant on one query
client_73cda7b4e4f265ea,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_73cda7b4e4f265ea,0.965,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.965,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,over-reliant on one query
client_e5c2aa26a8598242,0.965,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.965,over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_62f4a7e64f5e0096,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.965,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.965,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position
client_73cda7b4e4f265ea,0.965,unstable ranking position; relies on rare/long-tail queries
client_73cda7b4e4f265ea,0.965,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_62f4a7e64f5e0096,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.965,over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,unstable ranking position; over-reliant on one query
client_3197e6291363b4db,0.965,relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.965,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions
client_fef1a8f436438636,0.965,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.965,unstable ranking position
client_e5c2aa26a8598242,0.965,unstable ranking position
client_e5c2aa26a8598242,0.965,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.965,over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.965,unstable ranking position
client_73cda7b4e4f265ea,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_fef1a8f436438636,0.965,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_fef1a8f436438636,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.965,over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position
client_e5c2aa26a8598242,0.965,over-reliant on one query
client_fef1a8f436438636,0.965,"moderate signals, no single driver"
client_8ddc46da5414ffd8,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.965,unstable ranking position
client_73cda7b4e4f265ea,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.965,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.965,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.965,"moderate signals, no single driver"
client_fef1a8f436438636,0.965,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.965,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.96,unstable ranking position; over-reliant on one query
client_3197e6291363b4db,0.96,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,over-reliant on one query
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,unstable ranking position
client_fef1a8f436438636,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.96,unstable ranking position; relies on rare/long-tail queries; already low impressions
client_fef1a8f436438636,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_fef1a8f436438636,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,over-reliant on one query
client_e5c2aa26a8598242,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_e5c2aa26a8598242,0.96,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.96,unstable ranking position
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,over-reliant on one query
client_fef1a8f436438636,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position; over-reliant on one query
client_e5c2aa26a8598242,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position
client_8ddc46da5414ffd8,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_73cda7b4e4f265ea,0.96,over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position; relies on rare/long-tail queries
client_62f4a7e64f5e0096,0.96,over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_8ddc46da5414ffd8,0.96,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.96,over-reliant on one query
client_fef1a8f436438636,0.96,over-reliant on one query
client_73cda7b4e4f265ea,0.96,over-reliant on one query
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_73cda7b4e4f265ea,0.96,unstable ranking position; relies on rare/long-tail queries
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_62f4a7e64f5e0096,0.96,unstable ranking position; relies on rare/long-tail queries; over-reliant on one query
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,unstable ranking position
client_8ddc46da5414ffd8,0.96,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.96,"moderate signals, no single driver"
client_9958f0a7ae1df715,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.96,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.96,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position
client_62f4a7e64f5e0096,0.96,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_fef1a8f436438636,0.96,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.96,unstable ranking position; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.96,"moderate signals, no single driver"
client_fef1a8f436438636,0.96,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position
client_fef1a8f436438636,0.96,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position
client_e5c2aa26a8598242,0.96,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.96,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.96,unstable ranking position; relies on rare/long-tail queries
client_62f4a7e64f5e0096,0.96,over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_73cda7b4e4f265ea,0.96,unstable ranking position; relies on rare/long-tail queries; over-reliant on one query
client_8ddc46da5414ffd8,0.96,over-reliant on one query
client_fef1a8f436438636,0.96,over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position
client_fef1a8f436438636,0.96,over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.96,unstable ranking position
client_fef1a8f436438636,0.955,over-reliant on one query
client_8ddc46da5414ffd8,0.955,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.955,"moderate signals, no single driver"
client_62f4a7e64f5e0096,0.955,"moderate signals, no single driver"
client_fef1a8f436438636,0.955,"moderate signals, no single driver"
client_fef1a8f436438636,0.955,unstable ranking position; already low impressions; over-reliant on one query
